ID,Crop Name,Growth Duration (Days),Season,Soil Type,NPK Ratio (N-P-K),N (kg/ha),P (kg/ha),K (kg/ha),Total Fertilizer (kg/ha),Fertilizer P (kg/ha),Fertilizer K (kg/ha),Fertilizer Schedule,Cultivation Tips,Harvesting Tips
1,Rice,120-150,Kharif,Clay Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (30 & 60 DAS)","Maintain flooded field; control weeds","Harvest when grains turn golden"
2,Wheat,100-120,Rabi,Loam/Clay,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 50 DAS)","Ensure proper irrigation; weed control","Harvest when ears turn golden brown"
3,Maize,90-120,Kharif,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (15 & 30 DAS)","Avoid waterlogging; proper spacing","Harvest when cobs mature"
4,Sorghum,90-110,Kharif,Red Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Drought resistant; control pests","Harvest when grains hard"
5,Bajra,85-100,Kharif,Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Side Dressing (20 DAS)","Ensure drainage; proper spacing","Harvest when panicles mature"
6,Ragi,100-120,Kharif,Black Loam,50-25-25,100,50,50,200,100,100,"Basal + Side Dressing (20 DAS)","Moderate irrigation; proper spacing","Harvest when grains hard"
7,Barley,90-110,Rabi,Clay Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Control weeds; proper irrigation","Harvest when grains mature"
8,Oats,90-110,Rabi,Red Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Moderate irrigation; weed control","Harvest when grains mature"
9,Millets,85-100,Kharif,Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Side Dressing (20 DAS)","Drought resistant; proper spacing","Harvest when grains hard"
10,Green Gram,70-80,Kharif,Loam/Sandy Loam,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (15 DAS)","Fixes nitrogen; proper spacing","Harvest when pods mature"
11,Black Gram,70-80,Kharif,Red Loam,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (15 DAS)","Avoid waterlogging; pest control","Harvest when pods dry"
12,Chickpea,90-100,Rabi,Clay Loam,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (20 DAS)","Moderate irrigation; weed control","Harvest when pods dry"
13,Lentil,90-100,Rabi,Loam/Clay,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (20 DAS)","Ensure drainage; control pests","Harvest when pods mature"
14,Pea,80-90,Rabi,Alluvial Loam,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (15 & 30 DAS)","Moderate irrigation; trellis support","Harvest when pods fill"
15,Soybean,90-120,Kharif,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (15 & 40 DAS)","Control pests; proper spacing","Harvest when pods turn brown"
16,Groundnut,110-130,Kharif,Red Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Ensure drainage; avoid waterlogging","Harvest when leaves yellow & pods mature"
17,Sugarcane,360-400,Kharif/All,Clay Loam,100-50-50,200,100,100,400,200,200,"Basal + Top Dressing (every 60 days)","Irrigate regularly; weed control","Harvest when stalks mature & sugar content high"
18,Cotton,180-200,Kharif,Black Loam,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (30 & 60 DAS)","Pest control; proper spacing","Harvest when bolls open"
19,Tobacco,120-150,Kharif/All,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (30 & 60 DAS)","Maintain soil moisture; pest control","Harvest when leaves mature"
20,Sesame,90-110,Kharif,Red Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 & 40 DAS)","Moderate irrigation; proper spacing","Harvest when capsules turn brown"
21,Safflower,120-150,Rabi,Clay Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (30 & 60 DAS)","Control pests; proper irrigation","Harvest when flower heads dry"
22,Sunflower,90-120,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Proper spacing; pest control","Harvest when back of head turns yellow"
23,Mustard,90-110,Rabi,Alluvial Loam,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 DAS)","Moderate irrigation; spacing","Harvest when pods mature & leaves fall"
24,Tomato,90-120,Kharif,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (15 & 40 DAS)","Mulch to conserve moisture; pest control","Harvest when fruits fully colored & firm"
25,Potato,90-120,Rabi,Clay Loam,60-30-30,120,60,60,240,120,120,"Basal + Earthing Up (20 & 40 DAS)","Ensure proper drainage; hilling after 20 days","Harvest when leaves yellow & tubers firm"
26,Brinjal,120-140,Kharif,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (20 & 40 DAS)","Support plants; pest control","Harvest when fruits mature & firm"
27,Cabbage,90-110,Rabi,Clay Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 & 35 DAS)","Ensure proper spacing; pest control","Harvest when heads firm & tight"
28,Cauliflower,90-110,Rabi,Loam/Clay,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 & 35 DAS)","Mulching; proper irrigation","Harvest when curds compact & firm"
29,Carrot,80-90,Rabi,Alluvial Loam,40-20-20,80,40,40,160,80,80,"Basal + Side Dressing (15 DAS)","Loosen soil; avoid stones","Harvest when roots reach desired size"
30,Onion,90-120,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Ensure proper spacing; irrigation","Harvest when tops yellow & dry"
31,Garlic,90-120,Rabi,Clay Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (20 & 40 DAS)","Avoid waterlogging; proper spacing","Harvest when leaves turn brown"
32,Chili,120-140,Kharif,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (20 & 40 DAS)","Support plants; pest control","Harvest when fruits fully colored & firm"
33,Pepper,180-200,Kharif,Black Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 40 days)","Provide shade; irrigation","Harvest when berries mature & glossy"
34,Cucumber,60-70,Kharif,Loam/Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Side Dressing (15 DAS)","Provide trellis; irrigation","Harvest when fruits firm & green"
35,Bottle Gourd,80-90,Kharif,Red Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 DAS)","Provide support; irrigation","Harvest when fruits attain desired size"
36,Snake Gourd,90-100,Kharif,Loam/Sandy Loam,40-20-20,80,40,40,160,80,80,"Basal + Side Dressing (20 DAS)","Support with trellis; irrigation","Harvest when fruits tender & firm"
37,Pumpkin,90-120,Kharif,Clay Loam,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 DAS)","Ensure proper spacing; irrigation","Harvest when fruits mature & firm"
38,Watermelon,80-90,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 & 35 DAS)","Provide mulch; irrigation","Harvest when fruits ripen; color changes"
39,Cantaloupe,70-80,Kharif,Red Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Side Dressing (15 DAS)","Provide trellis; irrigation","Harvest when fruits firm & sweet"
40,Musk Melon,70-80,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 DAS)","Ensure spacing; irrigation","Harvest when fruits mature & aromatic"
41,Banana,360-400,Kharif/All,Clay Loam,120-60-60,240,120,120,480,240,240,"Split application (every 60 days)","Irrigate regularly; mulching","Harvest when bunches mature; finger color changes"
42,Papaya,270-300,Kharif/All,Loam/Sandy Loam,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Protect from wind; irrigation","Harvest when fruits change color & firm"
43,Pineapple,360-400,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Ensure proper drainage; mulching","Harvest when fruits mature & yellowish"
ID,Crop Name,Growth Duration (Days),Season,Soil Type,NPK Ratio (N-P-K),N (kg/ha),P (kg/ha),K (kg/ha),Total Fertilizer (kg/ha),Fertilizer P (kg/ha),Fertilizer K (kg/ha),Fertilizer Schedule,Cultivation Tips,Harvesting Tips
44,Mango,365-400,Kharif/All,Loam/Clay,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (pre-flowering + fruiting)","Prune; irrigate during dry spells","Harvest mature fruits; skin color changes"
45,Guava,270-300,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Control pests; irrigation","Harvest when fruits firm & slightly soft"
46,Jackfruit,300-365,Kharif/All,Clay Loam,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Mulching; maintain soil moisture","Harvest mature fruits; skin changes green to yellow"
47,Litchi,360-400,Kharif/All,Loam/Clay,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (pre-flowering + fruiting)","Protect from wind; irrigation","Harvest when fruits turn red & juicy"
48,Orange,270-300,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 60 days)","Control pests; drip irrigation","Harvest when fruits color changes & full size"
49,Lemon,180-240,Kharif/All,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Mulching; irrigation","Harvest when fruits reach mature size"
50,Apple,270-300,Rabi/All,Loam/Clay,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Prune regularly; pest control","Harvest when fruits firm & colored"
51,Pear,240-270,Rabi/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Moderate irrigation; pest control","Harvest when fruits firm & full-sized"
52,Pomegranate,180-220,Kharif/All,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 60 days)","Mulch; irrigation; pruning","Harvest when fruits hard & red"
53,Grapes,180-220,Kharif/All,Clay Loam,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 30 days)","Trellising; drip irrigation","Harvest when berries fully colored & firm"
54,Watermelon,80-90,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 & 35 DAS)","Provide mulch; irrigation","Harvest when fruits ripen; color changes"
55,Cantaloupe,70-80,Kharif,Red Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Side Dressing (15 DAS)","Provide trellis; irrigation","Harvest when fruits firm & sweet"
56,Musk Melon,70-80,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 DAS)","Ensure spacing; irrigation","Harvest when fruits mature & aromatic"
57,Banana,360-400,Kharif/All,Clay Loam,120-60-60,240,120,120,480,240,240,"Split application (every 60 days)","Irrigate regularly; mulching","Harvest when bunches mature; finger color changes"
58,Papaya,270-300,Kharif/All,Loam/Sandy Loam,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Protect from wind; irrigation","Harvest when fruits change color & firm"
59,Pineapple,360-400,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Ensure proper drainage; mulching","Harvest when fruits mature & yellowish"
60,Cashew,180-240,Kharif/All,Red Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 60 days)","Prune; irrigation","Harvest when nuts mature; shell hardens"
61,Areca Nut,180-240,Kharif/All,Loam/Clay,80-40-40,160,80,80,320,160,160,"Basal + Side Dressing (every 60 days)","Maintain soil moisture; mulch","Harvest when nuts reach proper size & color"
62,Coconut,360-400,Kharif/All,Clay Loam,100-50-50,200,100,100,400,200,200,"Basal + Top Dressing (every 60 days)","Irrigate regularly; mulch","Harvest when nuts mature; color changes brown"
63,Betel Vine,180-200,Kharif/All,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 45 days)","Provide support; irrigation","Harvest leaves tender & green")
64,Tamarind,360-400,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Ensure drainage; irrigation","Harvest mature pods; brown color")
65,Almond,270-300,Rabi/All,Loam/Clay,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Prune; pest control","Harvest when nuts ripen & shells hard")
66,Walnut,270-300,Rabi/All,Clay Loam,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Mulch; irrigation","Harvest mature nuts; shell cracks naturally")
67,Chiku,180-220,Kharif/All,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Control pests; irrigation","Harvest when fruits mature & skin softens")
68,Fig,180-220,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 60 days)","Mulch; irrigation","Harvest when fruits soft & fully colored")
69,Avocado,270-300,Kharif/All,Loam/Clay,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Mulch; drip irrigation","Harvest when fruits mature & firm")
70,Kiwi,270-300,Rabi/All,Clay Loam,80-40-40,160,80,80,320,160,160,"Basal + Side Dressing (every 60 days)","Trellising; irrigation","Harvest when fruits reach full size & firm")
71,Strawberry,90-120,Rabi/All,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 30 days)","Mulch; drip irrigation","Harvest when berries fully colored & soft")
72,Raspberry,120-150,Rabi/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 30 days)","Trellising; irrigation","Harvest when berries ripe & red")
73,Blueberry,120-150,Rabi/All,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Side Dressing (every 30 days)","Acidic soil; mulch","Harvest when berries blue & firm")
74,Cranberry,90-120,Kharif/All,Clay Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (every 30 days)","Maintain acidic wet soil","Harvest when berries red & ripe")
75,Casuarina,360-400,Kharif/All,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Side Dressing (every 60 days)","Plant spacing; irrigation","Harvest when mature for timber")
76,Eucalyptus,360-400,Kharif/All,Loam/Clay,80-40-40,160,80,80,320,160,160,"Basal + Top Dressing (every 60 days)","Irrigation; weed control","Harvest when timber reaches desired size")
77,Teak,360-400,Kharif/All,Clay Loam,80-40-40,160,80,80,320,160,160,"Basal + Side Dressing (every 60 days)","Mulch; irrigation","Harvest when timber matures")
78,Bamboo,180-240,Kharif/All,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (every 30 days)","Provide irrigation; mulch","Harvest when culms mature")
79,Neem,180-220,Kharif/All,Red Loam,40-20-20,80,40,40,160,80,80,"Basal + Side Dressing (every 30 days)","Ensure drainage; irrigation","Harvest leaves & seeds when mature")
80,Sandalwood,360-400,Kharif/All,Loam/Clay,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (every 60 days)","Mulch; irrigation","Harvest heartwood when mature")
81,Tephrosia,90-120,Kharif,Red Sandy Loam,30-10-20,60,20,40,120,40,80,"Basal + Side Dressing (30 DAS)","Green manure; spacing","Harvest before flowering")
82,Sunhemp,60-70,Kharif,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (20 DAS)","Green manure; spacing","Harvest before flowering")
83,Velvet Bean,90-100,Kharif,Clay Loam,30-10-20,60,20,40,120,40,80,"Basal + Side Dressing (30 DAS)","Legume cover crop","Harvest before flowering")
84,Glyricidia,120-140,Kharif/All,Loam/Clay,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (every 30 days)","Green manure; mulch","Harvest leaves for mulch")
85,Cowpea,70-90,Kharif,Red Loam,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (15 DAS)","Legume; spacing","Harvest pods when filled")
86,Field Bean,90-100,Rabi,Alluvial Loam,20-40-20,40,80,40,160,80,40,"Basal + Top Dressing (20 DAS)","Legume; irrigation","Harvest pods mature")
ID,Crop Name,Growth Duration (Days),Season,Soil Type,NPK Ratio (N-P-K),N (kg/ha),P (kg/ha),K (kg/ha),Total Fertilizer (kg/ha),Fertilizer P (kg/ha),Fertilizer K (kg/ha),Fertilizer Schedule,Cultivation Tips,Harvesting Tips
87,Mustard,90-110,Rabi,Loam/Clay,40-20-20,80,40,40,160,80,80,"Basal + Top Dressing (20 DAS)","Moderate irrigation; spacing","Harvest when pods mature & leaves fall"
88,Coriander,60-70,Rabi,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (15 DAS)","Proper spacing; pest control","Harvest leaves when mature")
89,Fenugreek,70-80,Rabi,Red Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (15 DAS)","Legume; spacing","Harvest when pods dry")
90,Mint,50-60,Kharif,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Irrigate regularly; mulch","Harvest leaves when aromatic")
91,Basil,50-60,Kharif,Loam/Sandy Loam,20-10-20,40,20,40,100,40,60,"Basal + Top Dressing (10 DAS)","Mulch; spacing","Harvest leaves when mature")
92,Chili,90-120,Kharif,Red Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (20 & 40 DAS)","Pest control; irrigation","Harvest when fruits red & firm")
93,Capsicum,90-120,Kharif,Loam/Sandy Loam,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (15 & 40 DAS)","Mulch; spacing","Harvest when fruits firm & colored")
94,Brinjal,90-120,Kharif,Loam/Clay,60-30-30,120,60,60,240,120,120,"Basal + Top Dressing (20 & 40 DAS)","Staking; irrigation","Harvest when fruits mature")
95,Cucumber,70-90,Kharif,Loam/Sandy Loam,50-25-25,100,50,50,200,100,100,"Basal + Top Dressing (15 & 35 DAS)","Provide trellis; irrigation","Harvest when fruits firm & green")
